TEAM_AWAY,GP_AWAY,PTS_AWAY,FGM_AWAY,FGA_AWAY,FG%_AWAY,3PM_AWAY,3PA_AWAY,3P%_AWAY,FTM_AWAY,FTA_AWAY,FT%_AWAY,OR_AWAY,DR_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TO_AWAY,PF_AWAY,FT_PCT_AWAY,FG_PCT_AWAY,FG3_PCT_AWAY,WSE_AWAY,SEASON_PACE_AWAY,SEASON_ORB%_AWAY
Atlanta Hawks,52,111.6,41,89.1,46,11.8,34.1,34.8,17.7,21.9,80.8,10.4,32.6,43,24.2,7.6,5.3,12.1,20.2,0.808,0.46,0.348,2.772,97.3,25.6
Boston Celtics,52,110.3,39.6,85.3,46.4,12.9,34.4,37.4,18.3,23.6,77.4,9.5,32.7,42.3,23.4,7.1,4.7,13.7,19.2,0.774,0.464,0.374,2.824,98,25
Brooklyn Nets,52,114.2,42.1,91.1,46.2,12.9,35.5,36.3,17.1,22,77.7,10.1,32.2,42.3,24.5,7.6,4.6,12,18.8,0.777,0.462,0.363,2.79,99.7,21.6
Charlotte Hornets,50,111.7,41.3,88.4,46.7,14.8,40.5,36.5,14.2,19.2,74.2,10.5,34.4,44.9,27.7,8.2,4.9,14.5,18.9,0.742,0.467,0.365,2.771,99.3,23.5
Chicago Bulls,50,113.5,42.2,89,47.4,11.3,32.4,35,17.8,23,77.5,8.9,33.1,42,23.8,8.6,5.2,12.7,18.5,0.775,0.474,0.35,2.773,100.6,22
Cleveland Cavaliers,51,110.8,41.1,86.1,47.7,12.3,32.2,38.2,16.4,21.1,77.5,10.1,33.8,43.9,24.4,8.4,5.8,14.2,20.1,0.775,0.477,0.382,2.875,97.3,24.5
Dallas Mavericks,51,109.4,39.8,87.8,45.3,13.2,36.6,36.2,16.6,21.9,76.1,10,34.6,44.6,22.2,7.2,3.7,11.8,20.2,0.761,0.453,0.362,2.753,97.6,19.8
Denver Nuggets,51,109.9,40.2,85.8,46.9,12.9,35.6,36.2,16.6,21.5,77.4,9.5,31.6,41.1,26.2,7.3,4.4,13.5,19.2,0.774,0.469,0.362,2.798,96.8,24.7
Detroit Pistons,52,111.1,41.2,86.3,47.8,11.7,31.4,37.2,17,22.3,76.1,9.7,34.5,44.2,24.9,7.8,5.9,13.8,20.7,0.761,0.478,0.372,2.833,97.5,22.3
Golden State Warriors,51,114.1,40.4,88.7,45.6,12.9,34.7,37.1,20.5,26.2,78.2,10.5,37.4,48,24.1,7.7,4.7,14.7,20.2,0.782,0.456,0.371,2.807,102.6,17.2
Houston Rockets,51,113.8,41.3,88.2,46.8,12.8,34.5,37.3,18.5,23.7,78,10.1,38,48.1,24.6,8.1,5.4,14,19.8,0.78,0.468,0.373,2.835,101.3,19.1
Indiana Pacers,50,113.6,41.9,89,47.1,11.8,31.4,37.7,18,23,78.3,10.5,35,45.4,25.9,7.4,5.3,14.8,18.5,0.783,0.471,0.377,2.856,100.3,19.9
LA Clippers,53,108,40.2,86.2,46.6,11.4,31.5,36.1,16.2,20.7,78.5,8.8,32.2,41.1,22.7,7,3.8,12.5,17.9,0.785,0.466,0.361,2.8,97.3,22.7
Los Angeles Lakers,52,105.8,39.6,87.4,45.4,11.4,32.6,35,15.2,19.8,76.5,9.1,32.8,41.9,24.7,8.6,4.4,14.4,21.5,0.765,0.454,0.35,2.723,98.9,22.6
Memphis Grizzlies,49,111.1,40.6,87.1,46.6,12.9,35.4,36.6,17,21.9,77.5,9,34.9,43.9,25.4,7.9,5.5,14.8,18.2,0.775,0.466,0.366,2.805,100.8,24.2
Miami Heat,52,107.4,38.6,86.4,44.7,14.6,40.1,36.3,15.6,19.8,79,10.2,33.8,43.9,25.4,7.9,4.1,14.4,20.1,0.79,0.447,0.363,2.773,97.1,19.3
Milwaukee Bucks,51,113.1,42.2,93,45.4,14.6,38.9,37.6,14,17.8,78.8,9.7,33.8,43.5,25.1,7,4.9,12.6,18.3,0.788,0.454,0.376,2.824,101.8,23.6
Minnesota Timberwolves,52,117.2,43,89.3,48.1,12.4,31.9,38.8,18.8,23.8,79,10.2,36.3,46.5,26.4,7.4,5.8,14.5,19.3,0.79,0.481,0.388,2.916,101.5,22.3
New Orleans Pelicans,51,115.5,42,88.5,47.4,15.2,38.5,39.4,16.4,20.5,80,8.9,31.6,40.5,26.4,7.5,5.8,12.4,21.1,0.8,0.474,0.394,2.93,98.6,27
New York Knicks,52,104.1,37.5,85.2,44.1,12,35.7,33.6,17,22.4,75.9,9.5,34.4,43.9,22.8,6.8,5.7,12.2,18.1,0.759,0.441,0.336,2.649,96.1,23.4
Oklahoma City Thunder,52,113.8,43.1,91.7,46.9,13,36.7,35.5,14.7,19.1,76.8,10,37.2,47.2,25.1,8.7,4.8,12.1,18.3,0.768,0.469,0.355,2.771,100.2,18.3
Orlando Magic,51,111.7,41.6,88.6,46.9,13.8,37.4,37,14.6,18.7,78.3,9.1,37.3,46.4,25.9,7.8,5.1,12.4,18.1,0.783,0.469,0.37,2.831,98.4,21.8
Philadelphia 76ers,51,109,39.7,87.9,45.2,12.1,33.2,36.3,17.5,22.8,76.8,9.4,32.7,42,23.5,7.6,4.6,14.7,21.3,0.768,0.452,0.363,2.761,100.6,24.1
Phoenix Suns,51,107.9,39.8,87.1,45.6,11.5,33.2,34.7,16.8,21.9,76.9,9.6,33.4,42.9,21.9,6.9,3.7,12.7,18.3,0.769,0.456,0.347,2.722,97.1,20.2
Portland Trail Blazers,51,115.3,42.1,87.9,47.9,13,34.9,37.1,18.1,23.3,77.8,10,36.1,46.1,25.1,6.1,4.5,12.4,18.8,0.778,0.479,0.371,2.849,98,22.9
Sacramento Kings,52,118.5,44.1,90.3,48.8,12.5,32,39.2,17.8,22.3,79.9,10.5,34.3,44.8,25.4,7.6,4.3,12.3,19.5,0.799,0.488,0.392,2.951,99.9,22.8
San Antonio Spurs,49,111.9,42,89.6,46.9,12.6,33.4,37.8,15.2,20,76.1,9.9,37.8,47.7,24.8,6.2,5.4,12.7,18.5,0.761,0.469,0.378,2.833,99.1,18.9
Toronto Raptors,52,111.8,38.8,84.7,45.9,14,37.2,37.6,20.1,25.3,79.5,10.3,36.2,46.5,26.4,6.7,5.8,15.8,20.3,0.795,0.459,0.376,2.841,99.6,20.4
Utah Jazz,52,107.3,40.9,91.8,44.6,10.7,31.3,34.2,14.8,19.1,77.5,10.2,33,43.1,22.2,7.3,3.9,10.9,19.2,0.775,0.446,0.342,2.693,98.8,25.2
Washington Wizards,50,118.7,43,91.1,47.2,12.9,33.9,38,19.8,25.5,77.7,10.3,36.5,46.8,24.1,8.2,4.8,14,22.2,0.777,0.472,0.38,2.861,104.3,20.1
