,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_NAME_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_NAME_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,OREB_home,FGA_home,FGM_home,FG3A_home,FG3M_home,OREB_away,FGA_away,FGM_away,FG3A_away,FG3M_away,WSE_home,WSE_away,WSE_DIFF,SEASON_PACE_home,SEASON_PACE_away,SEASON_ORB%_home,SEASON_ORB%_away
0,12/19/20,12000047,Final,1610612753,1610612766,2020,Orlando Magic,120.0,0.433,0.792,0.425,23.0,50.0,Charlotte Hornets,117.0,0.444,0.8640000000000001,0.439,21.0,52.0,1,13,97,42,40,17,11,90,40,41,18,2.9330000000000003,3.069,-0.13600000000000012,98.6,95.8,22.3,23.9
1,12/19/20,12000048,Final,1610612764,1610612765,2020,Washington Wizards,99.0,0.4270000000000001,0.625,0.295,24.0,45.0,Detroit Pistons,96.0,0.402,0.647,0.326,18.0,51.0,1,4,89,38,44,13,8,87,35,46,15,2.364,2.4290000000000003,-0.06500000000000039,102.7,97.6,22.2,22.6
2,12/19/20,12000049,Final,1610612763,1610612737,2020,Memphis Grizzlies,116.0,0.4,0.7440000000000001,0.396,21.0,43.0,Atlanta Hawks,117.0,0.422,0.8370000000000001,0.297,24.0,47.0,0,10,85,34,48,19,8,83,35,37,11,2.7319999999999998,2.572,0.16000000000000014,102.8,103.0,23.0,21.6
3,12/18/20,12000039,Final,1610612754,1610612755,2020,Indiana Pacers,107.0,0.371,0.6920000000000001,0.262,19.0,45.0,Philadelphia 76ers,113.0,0.5329999999999999,0.629,0.355,23.0,48.0,0,20,105,39,42,11,9,75,40,31,11,2.22,2.76,-0.5399999999999996,98.9,99.0,20.0,23.9
4,12/18/20,12000040,Final,1610612761,1610612748,2020,Toronto Raptors,105.0,0.38,0.737,0.35600000000000004,27.0,37.0,Miami Heat,117.0,0.534,0.741,0.514,30.0,51.0,0,8,92,35,59,21,4,73,39,37,19,2.565,3.3510000000000004,-0.7859999999999999,100.9,98.3,21.3,20.3
5,12/18/20,12000042,Final,1610612752,1610612739,2020,New York Knicks,119.0,0.513,0.7879999999999999,0.517,27.0,41.0,Cleveland Cavaliers,83.0,0.395,0.611,0.387,20.0,35.0,1,7,76,39,29,15,6,76,30,31,12,3.365,2.5620000000000003,0.8029999999999999,98.6,98.7,25.8,24.6
6,12/18/20,12000041,Final,1610612738,1610612751,2020,Boston Celtics,89.0,0.348,0.81,0.17800000000000002,18.0,48.0,Brooklyn Nets,113.0,0.4320000000000001,0.778,0.457,26.0,53.0,0,11,92,32,45,8,8,88,38,35,16,2.04,3.013,-0.973,99.5,101.4,23.9,23.2
7,12/18/20,12000043,Final,1610612740,1610612749,2020,New Orleans Pelicans,127.0,0.512,0.614,0.364,25.0,51.0,Milwaukee Bucks,113.0,0.422,0.9,0.25,21.0,44.0,1,15,86,44,33,12,12,90,38,40,10,2.73,2.494,0.23599999999999974,103.7,105.1,24.2,20.7
8,12/18/20,12000044,Final,1610612760,1610612741,2020,Oklahoma City Thunder,103.0,0.411,0.737,0.395,21.0,51.0,Chicago Bulls,105.0,0.424,0.588,0.268,27.0,56.0,0,9,90,37,38,15,12,99,42,41,11,2.7439999999999998,2.24,0.504,98.8,99.7,19.3,22.8
9,12/18/20,12000045,Final,1610612743,1610612757,2020,Denver Nuggets,129.0,0.474,0.778,0.409,30.0,53.0,Portland Trail Blazers,96.0,0.371,0.87,0.303,17.0,42.0,1,17,95,45,44,18,11,89,33,33,10,2.9530000000000003,2.521,0.432,97.1,100.7,24.8,22.4
10,12/18/20,12000046,Final,1610612756,1610612747,2020,Phoenix Suns,113.0,0.477,0.846,0.409,26.0,46.0,Los Angeles Lakers,114.0,0.506,0.593,0.5329999999999999,25.0,33.0,0,9,88,42,44,18,3,81,41,30,16,3.0269999999999997,3.204,-0.1769999999999996,101.3,100.9,22.2,24.5
11,12/17/20,12000032,Final,1610612753,1610612766,2020,Orlando Magic,115.0,0.474,0.917,0.324,26.0,53.0,Charlotte Hornets,123.0,0.475,0.9,0.439,32.0,43.0,0,13,97,46,37,12,10,101,48,41,18,2.837,3.167,-0.3300000000000001,98.6,95.8,22.3,23.9
12,12/17/20,12000033,Final,1610612764,1610612765,2020,Washington Wizards,86.0,0.397,0.682,0.265,18.0,42.0,Detroit Pistons,97.0,0.494,0.583,0.4,20.0,42.0,0,8,78,31,34,9,4,79,39,30,12,2.271,2.7710000000000004,-0.5,102.7,97.6,22.2,22.6
13,12/17/20,12000034,Final,1610612745,1610612759,2020,Houston Rockets,128.0,0.527,0.929,0.395,26.0,42.0,San Antonio Spurs,106.0,0.409,0.8440000000000001,0.212,17.0,41.0,1,5,93,49,43,17,9,88,36,33,7,3.168,2.298,0.8700000000000001,103.7,100.5,21.0,20.1
14,12/17/20,12000035,Final,1610612763,1610612737,2020,Memphis Grizzlies,128.0,0.474,0.773,0.38,33.0,58.0,Atlanta Hawks,106.0,0.381,0.8640000000000001,0.289,25.0,46.0,1,11,97,46,50,19,8,97,37,45,13,2.861,2.4930000000000003,0.3679999999999999,102.8,103.0,23.0,21.6
15,12/17/20,12000036,Final,1610612742,1610612750,2020,Dallas Mavericks,127.0,0.424,0.92,0.455,28.0,45.0,Minnesota Timberwolves,129.0,0.469,0.7929999999999999,0.389,27.0,55.0,0,8,99,42,44,20,12,98,46,36,14,3.133,2.898,0.2350000000000003,99.3,103.4,23.2,22.1
16,12/17/20,12000038,Final,1610612758,1610612744,2020,Sacramento Kings,105.0,0.3720000000000001,0.757,0.233,22.0,51.0,Golden State Warriors,113.0,0.424,0.833,0.465,20.0,54.0,0,9,94,35,30,7,9,92,39,43,20,2.2,3.076,-0.8759999999999999,98.9,100.3,21.9,21.5
17,12/17/20,12000037,Final,1610612746,1610612762,2020,Los Angeles Clippers,105.0,0.461,0.87,0.5,23.0,37.0,Utah Jazz,125.0,0.495,0.733,0.462,38.0,40.0,0,5,76,35,30,15,7,91,45,52,24,3.292,3.109,0.18299999999999986,101.5,98.6,23.5,21.6
18,12/16/20,12000028,Final,1610612752,1610612739,2020,New York Knicks,100.0,0.458,0.762,0.235,28.0,38.0,Cleveland Cavaliers,93.0,0.402,0.778,0.5,23.0,44.0,1,6,83,38,34,8,12,82,33,26,13,2.383,3.082,-0.6989999999999998,98.6,98.7,25.8,24.6
19,12/16/20,12000029,Final,1610612760,1610612741,2020,Oklahoma City Thunder,103.0,0.381,0.68,0.324,22.0,46.0,Chicago Bulls,124.0,0.542,0.643,0.333,26.0,61.0,0,11,97,37,37,12,9,96,52,33,11,2.414,2.7260000000000004,-0.31199999999999983,98.8,99.7,19.3,22.8
20,12/16/20,12000030,Final,1610612743,1610612757,2020,Denver Nuggets,126.0,0.523,0.7390000000000001,0.413,39.0,55.0,Portland Trail Blazers,95.0,0.378,0.75,0.265,20.0,33.0,1,11,86,45,46,19,10,98,37,34,9,3.0239999999999996,2.301,0.7230000000000003,97.1,100.7,24.8,22.4
21,12/16/20,12000031,Final,1610612756,1610612747,2020,Phoenix Suns,107.0,0.407,0.8,0.31,26.0,45.0,Los Angeles Lakers,112.0,0.476,0.75,0.4,20.0,47.0,0,11,86,35,42,13,8,82,39,25,10,2.544,2.9019999999999997,-0.3580000000000001,101.3,100.9,22.2,24.5
22,12/15/20,12000025,Final,1610612755,1610612738,2020,Philadelphia 76ers,108.0,0.471,0.75,0.241,23.0,42.0,Boston Celtics,99.0,0.434,0.727,0.282,19.0,42.0,1,10,85,40,29,7,12,83,36,39,11,2.415,2.441,-0.0259999999999998,99.0,99.5,23.9,23.9
23,12/15/20,12000026,Final,1610612745,1610612759,2020,Houston Rockets,112.0,0.44,0.654,0.333,23.0,51.0,San Antonio Spurs,98.0,0.429,0.593,0.32299999999999995,23.0,43.0,1,11,91,40,45,15,11,84,36,31,10,2.533,2.42,0.113,103.7,100.5,21.0,20.1
24,12/15/20,12000027,Final,1610612758,1610612744,2020,Sacramento Kings,114.0,0.467,0.5770000000000001,0.35700000000000004,23.0,49.0,Golden State Warriors,113.0,0.4270000000000001,0.621,0.302,28.0,53.0,1,8,90,42,42,15,10,96,41,43,13,2.5820000000000003,2.381,0.20100000000000007,98.9,100.3,21.9,21.5
25,12/14/20,12000019,Final,1610612739,1610612754,2020,Cleveland Cavaliers,116.0,0.514,0.8109999999999999,0.375,24.0,52.0,Indiana Pacers,106.0,0.451,0.5379999999999999,0.425,26.0,33.0,1,10,72,37,32,12,6,91,41,40,17,2.964,2.715,0.2490000000000001,98.7,98.9,24.6,20.0
26,12/14/20,12000020,Final,1610612766,1610612761,2020,Charlotte Hornets,109.0,0.457,0.7190000000000001,0.333,33.0,38.0,Toronto Raptors,112.0,0.476,0.7390000000000001,0.341,23.0,37.0,0,8,81,37,36,12,7,84,40,44,15,2.632,2.7140000000000004,-0.08200000000000074,95.8,100.9,23.9,21.3
27,12/14/20,12000021,Final,1610612748,1610612740,2020,Miami Heat,92.0,0.4270000000000001,0.818,0.28300000000000003,26.0,35.0,New Orleans Pelicans,114.0,0.447,0.8390000000000001,0.316,20.0,51.0,0,7,82,35,46,13,15,85,38,38,12,2.5210000000000004,2.681,-0.1599999999999997,98.3,103.7,20.3,24.2
28,12/14/20,12000022,Final,1610612749,1610612742,2020,Milwaukee Bucks,112.0,0.5,0.609,0.364,29.0,42.0,Dallas Mavericks,128.0,0.463,0.6920000000000001,0.478,22.0,49.0,0,6,86,43,33,12,12,95,44,46,22,2.701,3.052,-0.35099999999999953,105.1,99.3,20.7,23.2
29,12/14/20,12000023,Final,1610612750,1610612763,2020,Minnesota Timberwolves,104.0,0.402,0.7190000000000001,0.275,20.0,47.0,Memphis Grizzlies,123.0,0.5,0.645,0.333,29.0,51.0,0,7,87,35,40,11,6,92,46,33,11,2.3480000000000003,2.6439999999999997,-0.2959999999999998,103.4,102.8,22.1,23.0
30,12/14/20,12000024,Final,1610612762,1610612756,2020,Utah Jazz,111.0,0.4270000000000001,0.8540000000000001,0.308,18.0,54.0,Phoenix Suns,92.0,0.42,0.667,0.28600000000000003,16.0,37.0,1,9,75,32,39,12,2,88,37,28,8,2.6319999999999997,2.365,0.2669999999999999,98.6,101.3,21.6,22.2
31,12/13/20,12000013,Final,1610612737,1610612753,2020,Atlanta Hawks,116.0,0.4270000000000001,0.6759999999999999,0.395,27.0,61.0,Orlando Magic,107.0,0.402,0.667,0.306,23.0,52.0,1,12,89,38,43,17,9,102,41,36,11,2.715,2.389,0.3259999999999996,103.0,98.6,21.6,22.3
32,12/13/20,12000014,Final,1610612751,1610612764,2020,Brooklyn Nets,119.0,0.514,0.644,0.467,23.0,41.0,Washington Wizards,114.0,0.433,0.727,0.378,26.0,47.0,1,5,74,38,30,14,13,97,42,37,14,3.0730000000000004,2.727,0.3460000000000005,101.4,102.7,23.2,22.2
33,12/13/20,12000015,Final,1610612765,1610612752,2020,Detroit Pistons,99.0,0.421,0.6759999999999999,0.343,23.0,42.0,New York Knicks,91.0,0.393,0.654,0.242,19.0,48.0,1,7,76,32,35,12,13,84,33,33,8,2.547,2.166,0.3809999999999998,97.6,98.6,22.6,25.8
34,12/13/20,12000016,Final,1610612741,1610612745,2020,Chicago Bulls,104.0,0.394,0.696,0.35,26.0,57.0,Houston Rockets,91.0,0.345,0.8640000000000001,0.255,15.0,47.0,1,15,94,37,40,14,9,87,30,47,12,2.5340000000000003,2.319,0.21499999999999986,99.7,103.7,22.8,21.0
35,12/13/20,12000018,Final,1610612747,1610612746,2020,Los Angeles Lakers,131.0,0.568,0.677,0.72,28.0,45.0,Los Angeles Clippers,106.0,0.464,0.708,0.314,27.0,34.0,1,9,81,46,25,18,7,84,39,35,11,3.9730000000000003,2.5780000000000003,1.395,100.9,101.5,24.5,23.5
36,12/13/20,12000017,Final,1610612757,1610612758,2020,Portland Trail Blazers,106.0,0.4,0.815,0.4,19.0,42.0,Sacramento Kings,121.0,0.4320000000000001,0.775,0.28600000000000003,27.0,50.0,0,11,90,36,30,12,10,88,38,49,14,2.8150000000000004,2.4970000000000003,0.3180000000000001,100.7,98.9,22.4,21.9
37,12/12/20,12000006,Final,1610612766,1610612761,2020,Charlotte Hornets,100.0,0.395,0.634,0.345,24.0,54.0,Toronto Raptors,111.0,0.411,0.643,0.365,27.0,46.0,0,8,81,32,29,10,4,90,37,52,19,2.459,2.56,-0.10100000000000042,95.8,100.9,23.9,21.3
38,12/12/20,12000007,Final,1610612739,1610612754,2020,Cleveland Cavaliers,107.0,0.494,0.625,0.31,20.0,48.0,Indiana Pacers,104.0,0.425,0.7,0.341,26.0,38.0,1,11,79,39,29,9,8,80,34,44,15,2.543,2.573,-0.029999999999999805,98.7,98.9,24.6,20.0
39,12/12/20,12000008,Final,1610612759,1610612760,2020,San Antonio Spurs,108.0,0.376,0.68,0.395,23.0,45.0,Oklahoma City Thunder,121.0,0.489,0.9,0.5479999999999999,21.0,58.0,0,11,101,38,38,15,8,88,43,31,17,2.617,3.522,-0.9049999999999998,100.5,98.8,20.1,19.3
40,12/12/20,12000009,Final,1610612749,1610612742,2020,Milwaukee Bucks,102.0,0.404,0.85,0.237,24.0,53.0,Dallas Mavericks,112.0,0.414,0.867,0.395,27.0,51.0,0,10,94,38,38,9,9,97,40,42,16,2.369,2.88,-0.5110000000000001,105.1,99.3,20.7,23.2
41,12/12/20,12000010,Final,1610612750,1610612763,2020,Minnesota Timberwolves,105.0,0.395,0.75,0.371,17.0,51.0,Memphis Grizzlies,107.0,0.426,0.696,0.275,30.0,49.0,0,10,86,34,35,13,12,94,40,40,11,2.653,2.373,0.2799999999999998,103.4,102.8,22.1,23.0
42,12/12/20,12000011,Final,1610612744,1610612743,2020,Golden State Warriors,107.0,0.438,0.743,0.275,25.0,39.0,Denver Nuggets,105.0,0.43,0.72,0.28,20.0,48.0,1,5,80,35,40,11,12,93,40,25,7,2.444,2.42,0.024000000000000018,100.3,97.1,21.5,24.8
43,12/12/20,12000012,Final,1610612762,1610612756,2020,Utah Jazz,119.0,0.5,0.741,0.415,21.0,45.0,Phoenix Suns,105.0,0.433,0.81,0.345,22.0,48.0,1,7,82,41,41,17,11,90,39,29,10,2.986,2.7110000000000003,0.2749999999999995,98.6,101.3,21.6,22.2
44,12/11/20,12000001,Final,1610612737,1610612753,2020,Atlanta Hawks,112.0,0.37,0.8290000000000001,0.313,20.0,61.0,Orlando Magic,116.0,0.457,0.69,0.28600000000000003,26.0,49.0,0,19,92,34,32,10,10,92,42,42,12,2.508,2.4619999999999997,0.04599999999999982,103.0,98.6,21.6,22.3
45,12/11/20,12000002,Final,1610612765,1610612752,2020,Detroit Pistons,84.0,0.325,0.88,0.256,17.0,41.0,New York Knicks,90.0,0.458,0.474,0.217,23.0,54.0,0,10,80,26,39,10,13,83,38,23,5,2.298,2.041,0.2570000000000001,97.6,98.6,22.6,25.8
46,12/11/20,12000003,Final,1610612741,1610612745,2020,Chicago Bulls,104.0,0.413,0.73,0.324,20.0,56.0,Houston Rockets,125.0,0.434,0.7140000000000001,0.462,25.0,47.0,0,14,80,33,34,11,10,99,43,52,24,2.528,2.968,-0.44,99.7,103.7,22.8,21.0
47,12/11/20,12000004,Final,1610612747,1610612746,2020,Los Angeles Lakers,87.0,0.35700000000000004,0.8,0.318,15.0,46.0,Los Angeles Clippers,81.0,0.35700000000000004,0.647,0.278,15.0,55.0,1,7,84,30,22,7,11,84,30,36,10,2.468,2.1950000000000003,0.2729999999999997,100.9,101.5,24.5,23.5
