TEAM_HOME,GP_HOME,PTS_HOME,FGM_HOME,FGA_HOME,FG%_HOME,3PM_HOME,3PA_HOME,3P%_HOME,FTM_HOME,FTA_HOME,FT%_HOME,OR_HOME,DR_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TO_HOME,PF_HOME,FT_PCT_HOME,FG_PCT_HOME,FG3_PCT_HOME,WSE_HOME,SEASON_PACE_HOME,SEASON_ORB%_HOME
Atlanta Hawks,52,113.4,40.4,87.3,46.3,12.7,34,37.3,20,24.6,81.4,10.8,34.6,45.5,24.3,6.9,4.9,13,19.9,0.814,0.463,0.373,2.859,97.3,25.6
Boston Celtics,52,111.9,41.4,88.5,46.8,13.2,35.3,37.5,15.8,20.8,76.4,10.8,33.1,43.9,23.1,8,5.3,13.2,20.5,0.764,0.468,0.375,2.825,98,25
Brooklyn Nets,52,119,43.4,87.9,49.4,14.3,36.4,39.3,17.8,22.3,80,9,35.3,44.3,26.8,6.6,5.2,13.2,19.1,0.8,0.494,0.393,2.967,99.7,21.6
Charlotte Hornets,50,110.8,40.2,87.8,45.8,13.8,36.4,37.9,16.5,21.4,77.2,10.5,33.6,44.1,26.7,8.2,4.7,14.7,18.1,0.772,0.458,0.379,2.825,99.3,23.5
Chicago Bulls,50,112.8,42.7,89,48,12.4,33.4,37,15,18.7,80.2,9.6,35.5,45.1,26.6,6.7,4.3,15,19.4,0.802,0.48,0.37,2.872,100.6,22
Cleveland Cavaliers,51,103.6,38.9,86.3,45.1,9.4,28.1,33.5,16.3,22.3,73.3,10.6,32.3,42.9,23.5,8.1,5,14.3,18.8,0.733,0.451,0.335,2.64,97.3,24.5
Dallas Mavericks,51,111.5,40.7,86.9,46.8,13.8,38,36.2,16.4,21.1,77.6,8.6,35.1,43.7,22.4,6,4.5,11.4,19.4,0.776,0.468,0.362,2.798,97.6,19.8
Denver Nuggets,51,115.5,43.7,89.4,48.9,13.2,34,38.7,14.9,19,78.4,10.6,33.8,44.4,27.1,8.1,4.5,12.7,18.8,0.784,0.489,0.387,2.923,96.8,24.7
Detroit Pistons,52,107.6,38.6,86.2,44.8,12.1,34,35.6,18.3,23.7,77.3,9.8,32.8,42.6,24.5,7.7,5.1,13.9,20.4,0.773,0.448,0.356,2.737,97.5,22.3
Golden State Warriors,51,112,40.7,88.4,46.1,13.7,37.3,36.8,16.8,21.6,77.8,8,34.6,42.6,27.3,8,4.9,14.6,21.7,0.778,0.461,0.368,2.804,102.6,17.2
Houston Rockets,51,107.7,38.8,88.2,43.9,13.5,40.2,33.6,16.6,22.5,74.1,9,33.3,42.3,22.8,7.6,5.4,13.8,20,0.741,0.439,0.336,2.627,101.3,19.1
Indiana Pacers,50,113.2,42.4,89.6,47.3,12.4,34.1,36.4,16,20.4,78.4,8.8,32.9,41.7,26.8,8.6,6.2,13.2,20.3,0.784,0.473,0.364,2.822,100.3,19.9
LA Clippers,53,114.6,41.9,86.9,48.3,14.4,34.6,41.6,16.3,19.4,84.1,9.6,34.7,44.3,24.1,7.2,4.2,12,19.4,0.841,0.483,0.416,3.055,97.3,22.7
