,TEAM_home,TEAM_away,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,OREB_home,OREB_away,WSE_home,WSE_away,SEASON_PACE_home,SEASON_PACE_away,SEASON_ORB_home,SEASON_ORB_away
0,Brooklyn Nets,Los Angeles Lakers,0.494,0.8,0.39299999999999996,26.8,44.3,0.45399999999999996,0.765,0.35,24.7,41.9,9.0,9.1,2.967,2.7230000000000003,99.7,98.9,21.6,22.6
1,Oklahoma City Thunder,Philadelphia 76ers,0.445,0.738,0.348,22.6,44.9,0.452,0.768,0.363,23.5,42.0,8.9,9.4,2.6719999999999997,2.761,100.2,100.6,18.3,24.1
2,Utah Jazz,Sacramento Kings,0.467,0.79,0.39,23.5,48.3,0.488,0.799,0.392,25.4,44.8,10.9,10.5,2.8939999999999997,2.951,98.8,99.9,25.2,22.8
3,Golden State Warriors,Houston Rockets,0.461,0.778,0.368,27.3,42.6,0.46799999999999997,0.78,0.373,24.6,48.1,8.0,10.1,2.804,2.835,102.6,101.3,17.2,19.1
4,Phoenix Suns,Washington Wizards,0.489,0.8320000000000001,0.376,27.0,43.5,0.47200000000000003,0.777,0.38,24.1,46.8,8.5,10.3,2.938,2.861,97.1,104.3,20.2,20.1
5,Portland Trail Blazers,Detroit Pistons,0.445,0.8320000000000001,0.38,20.3,43.8,0.478,0.7609999999999999,0.37200000000000005,24.9,44.2,10.7,9.7,2.862,2.833,98.0,97.5,22.9,22.3
6,Charlotte Hornets,Atlanta Hawks,0.45799999999999996,0.772,0.379,26.7,44.1,0.46,0.8079999999999999,0.348,24.2,43.0,10.5,10.4,2.825,2.772,99.3,97.3,23.5,25.6
7,Denver Nuggets,Boston Celtics,0.489,0.784,0.387,27.1,44.4,0.46399999999999997,0.774,0.374,23.4,42.3,10.6,9.5,2.923,2.824,96.8,98.0,24.7,25.0
8,Cleveland Cavaliers,New Orleans Pelicans,0.451,0.733,0.335,23.5,42.9,0.474,0.8,0.39399999999999996,26.4,40.5,10.6,8.9,2.64,2.93,97.3,98.6,24.5,27.0
9,Orlando Magic,Milwaukee Bucks,0.431,0.782,0.35200000000000004,22.5,46.0,0.45399999999999996,0.7879999999999999,0.376,25.1,43.5,10.5,9.7,2.7,2.824,98.4,101.8,21.8,23.6
10,New York Knicks,Toronto Raptors,0.451,0.7659999999999999,0.38,21.1,45.5,0.45899999999999996,0.795,0.376,26.4,46.5,10.1,10.3,2.8080000000000003,2.841,96.1,99.6,23.4,20.4
11,Dallas Mavericks,San Antonio Spurs,0.46799999999999997,0.7759999999999999,0.36200000000000004,22.4,43.7,0.469,0.7609999999999999,0.37799999999999995,24.8,47.7,8.6,9.9,2.798,2.833,97.6,99.1,19.8,18.9
12,Memphis Grizzlies,Indiana Pacers,0.466,0.782,0.35600000000000004,26.8,46.3,0.47100000000000003,0.7829999999999999,0.377,25.9,45.4,11.2,10.5,2.782,2.8560000000000003,100.8,100.3,24.2,19.9
13,Minnesota Timberwolves,Chicago Bulls,0.441,0.7709999999999999,0.34700000000000003,24.9,43.0,0.474,0.775,0.35,23.8,42.0,10.4,8.9,2.694,2.773,101.5,100.6,22.3,22.0
