Team,2015,2016,2017,2018,2019,2020,2021
Atlanta Hawks,21.4,19.1,23.6,21.1,24.7,21.6,25.6
Boston Celtics,24.7,25.1,21.2,21.5,21.6,23.9,25
Brooklyn Nets,23.9,24.1,19.6,21,23.8,23.2,21.6
Charlotte Hornets,22.1,20,19.9,22.2,21.7,23.9,23.5
Chicago Bulls,27,24.5,27,20.6,19.4,22.8,22
Cleveland Cavaliers,26.8,25.1,21.9,20.1,23.7,24.6,24.5
Dallas Mavericks,23.6,20.6,18.1,18,22.7,23.2,19.8
Denver Nuggets,26.6,25.8,27.3,25.7,26.6,24.8,24.7
Detroit Pistons,27.7,27,24.1,22.7,24.8,22.6,22.3
Golden State Warriors,24.1,23.5,22.8,21,22.5,21.5,17.2
Houston Rockets,26.8,25.7,24.6,21.3,22.8,21,19.1
Indiana Pacers,24,23.4,21.2,22.7,21.9,20,19.9
Los Angeles Clippers,22.8,20.1,21.5,23.5,22,23.5,22.7
Los Angeles Lakers,25.4,23.1,25,23.6,22.2,24.5,22.6
Memphis Grizzlies,24.7,25.3,24.8,22.4,20,23,24.2
Miami Heat,23.2,23.8,24.2,21.5,24.8,20.3,19.3
Milwaukee Bucks,25.4,24.9,21.5,20.4,20.8,20.7,23.6
Minnesota Timberwolves,26.6,24.3,27.2,24.4,24.6,22.1,22.3
New Orleans Pelicans,27.1,21.2,18.5,20,24.1,24.2,27
New York Knicks,24.5,23.7,26.6,24.1,22.1,25.8,23.4
Oklahoma City Thunder,28.9,31.1,27.9,27.7,26,19.3,18.3
Orlando Magic,23.1,23.1,21.6,20,22,22.3,21.8
Philadelphia 76ers,25.5,20.6,22.4,25.3,24.5,23.9,24.1
Phoenix Suns,24.5,25.4,26,22.5,20.5,22.2,20.2
Portland Trail Blazers,24.2,25.9,23,23.3,26.6,22.4,22.9
Sacramento Kings,26.5,23.9,21,21.5,23.1,21.9,22.8
San Antonio Spurs,23.4,23,24,23.7,21,20.1,18.9
Toronto Raptors,25.6,24.6,25,23,21.9,21.3,20.4
Utah Jazz,29.1,25.9,23.2,21.5,22.9,21.6,25.2
Washington Wizards,24.9,20.6,24.1,23.5,21.3,22.2,20.1
