Team,2015,2016,2017,2018,2019,2020,2021
Atlanta Hawks,93.9,97.1,97.4,98.3,103.9,103,97.3
Boston Celtics,95.8,98.5,96.8,96,99.6,99.5,98
Brooklyn Nets,92.7,95.2,101.3,98.9,100.8,101.4,99.7
Charlotte Hornets,93,95.7,95.7,98.4,98.7,95.8,99.3
Chicago Bulls,92.8,95.7,95.3,98.3,99,99.7,100.6
Cleveland Cavaliers,92.3,93.3,96.2,98,96.6,98.7,97.3
Dallas Mavericks,95.2,94.3,92.2,95.6,99,99.3,97.6
Denver Nuggets,96.1,95.7,98.3,96.8,97.7,97.1,96.8
Detroit Pistons,92.8,95.1,95,96.2,97.4,97.6,97.5
Golden State Warriors,98.3,99.3,99.8,99.6,100.9,100.3,102.6
Houston Rockets,96.5,97.6,100,97.6,97.9,103.7,101.3
Indiana Pacers,93.2,96.6,95.9,96,98.1,98.9,100.3
Los Angeles Clippers,94.7,95.8,96.1,98.7,101.7,101.5,97.3
Los Angeles Lakers,94,95.6,98.5,100.3,103.2,100.9,98.9
Memphis Grizzlies,92,93.3,92.3,94.9,96.6,102.8,100.8
Miami Heat,90.9,93.6,95.2,95.6,98.2,98.3,97.1
Milwaukee Bucks,94.1,94.2,94.5,96.2,103.3,105.1,101.8
Minnesota Timberwolves,94.4,95.2,94.6,96,100.2,103.4,101.5
New Orleans Pelicans,91.4,96.8,98,100.5,103.3,103.7,98.6
New York Knicks,91.2,93.4,96,96.8,99.6,98.6,96.1
Oklahoma City Thunder,95.7,96.7,97.8,96.7,102.8,98.8,100.2
Orlando Magic,93.8,96,96.8,98.1,98.1,98.6,98.4
Philadelphia 76ers,95.7,97.9,98.5,99.8,101.6,99,100.6
Phoenix Suns,96.3,98.5,100.3,100.3,100.5,101.3,97.1
Portland Trail Blazers,94.2,96,96.7,96.5,99.1,100.7,98
Sacramento Kings,95.4,100,94.9,94.9,103.1,98.9,99.9
San Antonio Spurs,93.8,93.8,94.2,95,98.3,100.5,99.1
Toronto Raptors,92.8,92.9,94.7,97.4,100.2,100.9,99.6
Utah Jazz,90.4,91,91.6,95.7,100.3,98.6,98.8
Washington Wizards,93.7,98.5,97.4,96.6,101.4,102.7,104.3
