TEAM_home,TEAM_away,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,OREB_home,OREB_away,WSE_home,WSE_away,SEASON_PACE_home,SEASON_PACE_away,SEASON_ORB_home,SEASON_ORB_away
Brooklyn Nets,Los Angeles Lakers,0.494,0.8,0.393,26.8,44.3,0.476,0.744,0.353,24.5,45.1,9,9.7,2.967,2.755,99.7,98.9,21.6,22.6
Oklahoma City Thunder,Philadelphia 76ers,0.445,0.738,0.348,22.6,44.9,0.477,0.77,0.368,23.2,46,8.9,10.2,2.672,2.828,100.2,100.6,18.3,24.1
Utah Jazz,Sacramento Kings,0.467,0.79,0.39,23.5,48.3,0.482,0.74,0.36,25.7,42.3,10.9,9.9,2.894,2.784,98.8,99.9,25.2,22.8
Golden State Warriors,Houston Rockets,0.461,0.778,0.368,27.3,42.6,0.439,0.741,0.336,22.8,42.3,8,9,2.804,2.627,102.6,101.3,17.2,19.1
Phoenix Suns,Washington Wizards,0.489,0.832,0.376,27,43.5,0.466,0.761,0.347,24.8,44.1,8.5,9.2,2.938,2.734,97.1,104.3,20.2,20.1
Portland Trail Blazers,Detroit Pistons,0.445,0.832,0.38,20.3,43.8,0.448,0.773,0.356,24.5,42.6,10.7,9.8,2.862,2.737,98,97.5,22.9,22.3
Charlotte Hornets,Atlanta Hawks,0.458,0.772,0.379,26.7,44.1,0.463,0.814,0.373,24.3,45.5,10.5,10.8,2.825,2.859,99.3,97.3,23.5,25.6
Denver Nuggets,Boston Celtics,0.489,0.784,0.387,27.1,44.4,0.468,0.764,0.375,23.1,43.9,10.6,10.8,2.923,2.825,96.8,98,24.7,25
Cleveland Cavaliers,New Orleans Pelicans,0.451,0.733,0.335,23.5,42.9,0.482,0.734,0.357,26.1,46.3,10.6,11.7,2.64,2.769,97.3,98.6,24.5,27
Orlando Magic,Milwaukee Bucks,0.431,0.782,0.352,22.5,46,0.486,0.757,0.392,25.5,48,10.5,10.3,2.7,2.905,98.4,101.8,21.8,23.6
New York Knicks,Toronto Raptors,0.451,0.766,0.38,21.1,45.5,0.446,0.825,0.368,24.4,41.3,10.1,9.4,2.808,2.821,96.1,99.6,23.4,20.4
Dallas Mavericks,San Antonio Spurs,0.468,0.776,0.362,22.4,43.7,0.458,0.782,0.355,24.3,44,8.6,9.1,2.798,2.763,97.6,99.1,19.8,18.9
Memphis Grizzlies,Indiana Pacers,0.466,0.782,0.356,26.8,46.3,0.473,0.784,0.364,26.8,41.7,11.2,8.8,2.782,2.822,100.8,100.3,24.2,19.9
Minnesota Timberwolves,Chicago Bulls,0.441,0.771,0.347,24.9,43,0.48,0.802,0.37,26.6,45.1,10.4,9.6,2.694,2.872,101.5,100.6,22.3,22
LA Clippers,Detroit Pistons,0.483,0.841,0.416,24.1,44.3,0.448,0.773,0.356,24.5,42.6,9.6,9.8,3.055,2.737,97.3,97.5,22.7,22.3
Portland Trail Blazers,Miami Heat,0.445,0.832,0.38,20.3,43.8,0.461,0.788,0.347,26.1,42.4,10.7,8,2.862,2.751,98,97.1,22.9,19.3
New York Knicks,Los Angeles Lakers,0.451,0.766,0.38,21.1,45.5,0.476,0.744,0.353,24.5,45.1,10.1,9.7,2.808,2.755,96.1,98.9,23.4,22.6
Orlando Magic,San Antonio Spurs,0.431,0.782,0.352,22.5,46,0.458,0.782,0.355,24.3,44,10.5,9.1,2.7,2.763,98.4,99.1,21.8,18.9
Minnesota Timberwolves,Brooklyn Nets,0.441,0.771,0.347,24.9,43,0.494,0.8,0.393,26.8,44.3,10.4,9,2.694,2.967,101.5,99.7,22.3,21.6
Dallas Mavericks,Philadelphia 76ers,0.468,0.776,0.362,22.4,43.7,0.477,0.77,0.368,23.2,46,8.6,10.2,2.798,2.828,97.6,100.6,19.8,24.1
Memphis Grizzlies,Chicago Bulls,0.466,0.782,0.356,26.8,46.3,0.48,0.802,0.37,26.6,45.1,11.2,9.6,2.782,2.872,100.8,100.6,24.2,22
New Orleans Pelicans,Sacramento Kings,0.482,0.734,0.357,26.1,46.3,0.482,0.74,0.36,25.7,42.3,11.7,9.9,2.769,2.784,98.6,99.9,27,22.8
Utah Jazz,Washington Wizards,0.467,0.79,0.39,23.5,48.3,0.466,0.761,0.347,24.8,44.1,10.9,9.2,2.894,2.734,98.8,104.3,25.2,20.1
Golden State Warriors,Denver Nuggets,0.461,0.778,0.368,27.3,42.6,0.489,0.784,0.387,27.1,44.4,8,10.6,2.804,2.923,102.6,96.8,17.2,24.7
Phoenix Suns,Houston Rockets,0.489,0.832,0.376,27,43.5,0.439,0.741,0.336,22.8,42.3,8.5,9,2.938,2.627,97.1,101.3,20.2,19.1
Indiana Pacers,LA Clippers,0.473,0.784,0.364,26.8,41.7,0.483,0.841,0.416,24.1,44.3,8.8,9.6,2.822,3.055,100.3,97.3,19.9,22.7
Toronto Raptors,Atlanta Hawks,0.446,0.825,0.368,24.4,41.3,0.463,0.814,0.373,24.3,45.5,9.4,10.8,2.821,2.859,99.6,97.3,20.4,25.6
Charlotte Hornets,Los Angeles Lakers,0.458,0.772,0.379,26.7,44.1,0.476,0.744,0.353,24.5,45.1,10.5,9.7,2.825,2.755,99.3,98.9,23.5,22.6
Utah Jazz,Oklahoma City Thunder,0.467,0.79,0.39,23.5,48.3,0.445,0.738,0.348,22.6,44.9,10.9,8.9,2.894,2.672,98.8,100.2,25.2,18.3
Phoenix Suns,Miami Heat,0.489,0.832,0.376,27,43.5,0.461,0.788,0.347,26.1,42.4,8.5,8,2.938,2.751,97.1,97.1,20.2,19.3
Portland Trail Blazers,Boston Celtics,0.445,0.832,0.38,20.3,43.8,0.468,0.764,0.375,23.1,43.9,10.7,10.8,2.862,2.825,98,98,22.9,25
Charlotte Hornets,Cleveland Cavaliers,0.458,0.772,0.379,26.7,44.1,0.451,0.733,0.335,23.5,42.9,10.5,10.6,2.825,2.64,99.3,97.3,23.5,24.5
Philadelphia 76ers,Brooklyn Nets,0.477,0.77,0.368,23.2,46,0.494,0.8,0.393,26.8,44.3,10.2,9,2.828,2.967,100.6,99.7,24.1,21.6
Toronto Raptors,San Antonio Spurs,0.446,0.825,0.368,24.4,41.3,0.458,0.782,0.355,24.3,44,9.4,9.1,2.821,2.763,99.6,99.1,20.4,18.9
Detroit Pistons,LA Clippers,0.448,0.773,0.356,24.5,42.6,0.483,0.841,0.416,24.1,44.3,9.8,9.6,2.737,3.055,97.5,97.3,22.3,22.7
Chicago Bulls,Orlando Magic,0.48,0.802,0.37,26.6,45.1,0.431,0.782,0.352,22.5,46,9.6,10.5,2.872,2.7,100.6,98.4,22,21.8
Minnesota Timberwolves,Milwaukee Bucks,0.441,0.771,0.347,24.9,43,0.486,0.757,0.392,25.5,48,10.4,10.3,2.694,2.905,101.5,101.8,22.3,23.6
New Orleans Pelicans,New York Knicks,0.482,0.734,0.357,26.1,46.3,0.451,0.766,0.38,21.1,45.5,11.7,10.1,2.769,2.808,98.6,96.1,27,23.4
Houston Rockets,Indiana Pacers,0.439,0.741,0.336,22.8,42.3,0.473,0.784,0.364,26.8,41.7,9,8.8,2.627,2.822,101.3,100.3,19.1,19.9
Oklahoma City Thunder,Golden State Warriors,0.445,0.738,0.348,22.6,44.9,0.461,0.778,0.368,27.3,42.6,8.9,8,2.672,2.804,100.2,102.6,18.3,17.2
Memphis Grizzlies,Dallas Mavericks,0.466,0.782,0.356,26.8,46.3,0.468,0.776,0.362,22.4,43.7,11.2,8.6,2.782,2.798,100.8,97.6,24.2,19.8
Denver Nuggets,Miami Heat,0.489,0.784,0.387,27.1,44.4,0.461,0.788,0.347,26.1,42.4,10.6,8,2.923,2.751,96.8,97.1,24.7,19.3
Sacramento Kings,Washington Wizards,0.482,0.74,0.36,25.7,42.3,0.466,0.761,0.347,24.8,44.1,9.9,9.2,2.784,2.734,99.9,104.3,22.8,20.1
Atlanta Hawks,Milwaukee Bucks,0.463,0.814,0.373,24.3,45.5,0.486,0.757,0.392,25.5,48,10.8,10.3,2.859,2.905,97.3,101.8,25.6,23.6
Cleveland Cavaliers,Golden State Warriors,0.451,0.733,0.335,23.5,42.9,0.461,0.778,0.368,27.3,42.6,10.6,8,2.64,2.804,97.3,102.6,24.5,17.2
Los Angeles Lakers,Boston Celtics,0.476,0.744,0.353,24.5,45.1,0.468,0.764,0.375,23.1,43.9,9.7,10.8,2.755,2.825,98.9,98,22.6,25
Phoenix Suns,Sacramento Kings,0.489,0.832,0.376,27,43.5,0.482,0.74,0.36,25.7,42.3,8.5,9.9,2.938,2.784,97.1,99.9,20.2,22.8
Utah Jazz,Indiana Pacers,0.467,0.79,0.39,23.5,48.3,0.473,0.784,0.364,26.8,41.7,10.9,8.8,2.894,2.822,98.8,100.3,25.2,19.9
Detroit Pistons,Oklahoma City Thunder,0.448,0.773,0.356,24.5,42.6,0.445,0.738,0.348,22.6,44.9,9.8,8.9,2.737,2.672,97.5,100.2,22.3,18.3
Philadelphia 76ers,LA Clippers,0.477,0.77,0.368,23.2,46,0.483,0.841,0.416,24.1,44.3,10.2,9.6,2.828,3.055,100.6,97.3,24.1,22.7
Washington Wizards,New Orleans Pelicans,0.466,0.761,0.347,24.8,44.1,0.482,0.734,0.357,26.1,46.3,9.2,11.7,2.734,2.769,104.3,98.6,20.1,27
Brooklyn Nets,Charlotte Hornets,0.494,0.8,0.393,26.8,44.3,0.458,0.772,0.379,26.7,44.1,9,10.5,2.967,2.825,99.7,99.3,21.6,23.5
Toronto Raptors,Orlando Magic,0.446,0.825,0.368,24.4,41.3,0.431,0.782,0.352,22.5,46,9.4,10.5,2.821,2.7,99.6,98.4,20.4,21.8
Chicago Bulls,Memphis Grizzlies,0.48,0.802,0.37,26.6,45.1,0.466,0.782,0.356,26.8,46.3,9.6,11.2,2.872,2.782,100.6,100.8,22,24.2
Houston Rockets,Denver Nuggets,0.439,0.741,0.336,22.8,42.3,0.489,0.784,0.387,27.1,44.4,9,10.6,2.627,2.923,101.3,96.8,19.1,24.7
Minnesota Timberwolves,Miami Heat,0.441,0.771,0.347,24.9,43,0.461,0.788,0.347,26.1,42.4,10.4,8,2.694,2.751,101.5,97.1,22.3,19.3
San Antonio Spurs,Portland Trail Blazers,0.458,0.782,0.355,24.3,44,0.445,0.832,0.38,20.3,43.8,9.1,10.7,2.763,2.862,99.1,98,18.9,22.9
Dallas Mavericks,New York Knicks,0.468,0.776,0.362,22.4,43.7,0.451,0.766,0.38,21.1,45.5,8.6,10.1,2.798,2.808,97.6,96.1,19.8,23.4
Los Angeles Lakers,Utah Jazz,0.476,0.744,0.353,24.5,45.1,0.467,0.79,0.39,23.5,48.3,9.7,10.9,2.755,2.894,98.9,98.8,22.6,25.2
Washington Wizards,Detroit Pistons,0.466,0.761,0.347,24.8,44.1,0.448,0.773,0.356,24.5,42.6,9.2,9.8,2.734,2.737,104.3,97.5,20.1,22.3
Chicago Bulls,Cleveland Cavaliers,0.48,0.802,0.37,26.6,45.1,0.451,0.733,0.335,23.5,42.9,9.6,10.6,2.872,2.64,100.6,97.3,22,24.5
Boston Celtics,Golden State Warriors,0.468,0.764,0.375,23.1,43.9,0.461,0.778,0.368,27.3,42.6,10.8,8,2.825,2.804,98,102.6,25,17.2
Milwaukee Bucks,Memphis Grizzlies,0.486,0.757,0.392,25.5,48,0.466,0.782,0.356,26.8,46.3,10.3,11.2,2.905,2.782,101.8,100.8,23.6,24.2
Phoenix Suns,San Antonio Spurs,0.489,0.832,0.376,27,43.5,0.458,0.782,0.355,24.3,44,8.5,9.1,2.938,2.763,97.1,99.1,20.2,18.9
Atlanta Hawks,Indiana Pacers,0.463,0.814,0.373,24.3,45.5,0.473,0.784,0.364,26.8,41.7,10.8,8.8,2.859,2.822,97.3,100.3,25.6,19.9
New York Knicks,New Orleans Pelicans,0.451,0.766,0.38,21.1,45.5,0.482,0.734,0.357,26.1,46.3,10.1,11.7,2.808,2.769,96.1,98.6,23.4,27
Miami Heat,Brooklyn Nets,0.461,0.788,0.347,26.1,42.4,0.494,0.8,0.393,26.8,44.3,8,9,2.751,2.967,97.1,99.7,19.3,21.6
Charlotte Hornets,Portland Trail Blazers,0.458,0.772,0.379,26.7,44.1,0.445,0.832,0.38,20.3,43.8,10.5,10.7,2.825,2.862,99.3,98,23.5,22.9
Orlando Magic,Houston Rockets,0.431,0.782,0.352,22.5,46,0.439,0.741,0.336,22.8,42.3,10.5,9,2.7,2.627,98.4,101.3,21.8,19.1
Toronto Raptors,Oklahoma City Thunder,0.446,0.825,0.368,24.4,41.3,0.445,0.738,0.348,22.6,44.9,9.4,8.9,2.821,2.672,99.6,100.2,20.4,18.3
Dallas Mavericks,Sacramento Kings,0.468,0.776,0.362,22.4,43.7,0.482,0.74,0.36,25.7,42.3,8.6,9.9,2.798,2.784,97.6,99.9,19.8,22.8
