TEAM_home,TEAM_away,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,OREB_home,OREB_away,WSE_home,WSE_away,SEASON_PACE_home,SEASON_PACE_away,SEASON_ORB_home,SEASON_ORB_away
Brooklyn Nets,Los Angeles Lakers,0.474,0.7825,0.3715,25.75,43.1,0.469,0.7605,0.358,24.5,43.7,9.05,9.9,2.845,2.7725,99.3,99.3,22.1,22.1
Oklahoma City Thunder,Philadelphia 76ers,0.4485,0.753,0.3555,23.05,43.45,0.473,0.769,0.3615,24.15,46.6,9.15,10.1,2.7165,2.7995,100.4,100.4,21.2,21.2
Utah Jazz,Sacramento Kings,0.4775,0.7945,0.391,24.45,46.55,0.464,0.7575,0.351,23.95,42.7,10.7,10.05,2.9225,2.7385,99.35,99.35,24,24
Golden State Warriors,Houston Rockets,0.4645,0.779,0.3705,25.95,45.35,0.4475,0.7615,0.3535,23.45,45.15,9.05,9.75,2.8195,2.717,101.95,101.95,18.15,18.15
Phoenix Suns,Washington Wizards,0.4805,0.8045,0.378,25.55,45.15,0.461,0.765,0.347,23.35,43.5,9.4,9.4,2.8995,2.728,100.7,100.7,20.15,20.15
Portland Trail Blazers,Detroit Pistons,0.4615,0.7965,0.376,22.6,44,0.4635,0.7755,0.3635,24.8,44.35,10.2,9.9,2.8475,2.793,97.75,97.75,22.6,22.6
Charlotte Hornets,Atlanta Hawks,0.459,0.79,0.3635,25.45,43.55,0.465,0.778,0.369,26,45.2,10.45,10.65,2.7985,2.815,98.3,98.3,24.55,24.55
Denver Nuggets,Boston Celtics,0.4765,0.779,0.3805,25.25,43.35,0.4685,0.769,0.3685,24.65,42.5,10.05,10.15,2.8735,2.8115,97.4,97.4,24.85,24.85
Cleveland Cavaliers,New Orleans Pelicans,0.4625,0.7665,0.3645,24.95,41.7,0.4795,0.7545,0.3695,25.25,45.1,9.75,10.9,2.785,2.822,97.95,97.95,25.75,25.75
Orlando Magic,Milwaukee Bucks,0.4425,0.785,0.364,23.8,44.75,0.4775,0.77,0.381,25.7,47.2,10.1,9.7,2.762,2.868,100.1,100.1,22.7,22.7
New York Knicks,Toronto Raptors,0.455,0.7805,0.378,23.75,46,0.4435,0.792,0.352,23.6,42.6,10.2,9.45,2.8245,2.735,97.85,97.85,21.9,21.9
Dallas Mavericks,San Antonio Spurs,0.4685,0.7685,0.37,23.6,45.7,0.4555,0.7715,0.3585,23.25,44.3,9.25,9.55,2.8155,2.758,98.35,98.35,19.35,19.35
Memphis Grizzlies,Indiana Pacers,0.4685,0.7825,0.3665,26.35,45.85,0.4695,0.7795,0.365,26.1,42.8,10.85,8.9,2.819,2.8135,100.55,100.55,22.05,22.05
Minnesota Timberwolves,Chicago Bulls,0.4575,0.773,0.3485,24.35,42.5,0.4805,0.796,0.379,26.5,45.8,9.65,9.9,2.7335,2.894,101.05,101.05,22.15,22.15
LA Clippers,Detroit Pistons,0.4805,0.801,0.394,24.5,44.25,0.457,0.779,0.3585,23.6,41.85,9.65,9.3,2.944,2.7685,97.4,97.4,22.5,22.5
Portland Trail Blazers,Miami Heat,0.446,0.811,0.3715,22.85,43.85,0.47,0.783,0.359,25.6,44.25,10.45,9,2.8175,2.8,97.55,97.55,21.1,21.1
New York Knicks,Los Angeles Lakers,0.4525,0.7655,0.365,22.9,43.7,0.4585,0.7515,0.3445,23.65,44.5,9.6,9.6,2.7655,2.702,97.5,97.5,23,23
Orlando Magic,San Antonio Spurs,0.45,0.7715,0.365,23.65,46.85,0.4635,0.7825,0.3625,25.1,45.2,10.2,9.1,2.7665,2.797,98.75,98.75,20.35,20.35
Minnesota Timberwolves,Brooklyn Nets,0.4515,0.774,0.355,24.7,42.65,0.4875,0.795,0.3905,26.6,45.4,10.25,9.6,2.742,2.9415,100.6,100.6,21.95,21.95
Dallas Mavericks,Philadelphia 76ers,0.46,0.772,0.3625,22.95,42.85,0.465,0.7655,0.365,22.7,45.3,9,10.1,2.7795,2.7905,99.1,99.1,21.95,21.95
Memphis Grizzlies,Chicago Bulls,0.47,0.7785,0.353,25.3,44.15,0.473,0.7885,0.368,26,44.5,10.05,9.3,2.7775,2.8385,100.7,100.7,23.1,23.1
New Orleans Pelicans,Sacramento Kings,0.485,0.7665,0.3745,25.75,45.55,0.478,0.77,0.377,26.05,41.4,11.1,9.4,2.86,2.857,99.25,99.25,24.9,24.9
Utah Jazz,Washington Wizards,0.4695,0.7835,0.385,23.8,47.55,0.456,0.768,0.3445,23.5,43.6,10.6,9.7,2.8775,2.7135,101.55,101.55,22.65,22.65
Golden State Warriors,Denver Nuggets,0.465,0.776,0.365,26.75,41.85,0.4725,0.783,0.379,25.6,46.2,8.75,10.55,2.801,2.865,99.7,99.7,20.95,20.95
Phoenix Suns,Houston Rockets,0.4785,0.806,0.3745,25.8,45.8,0.4475,0.755,0.3415,22.35,42.6,9.3,9.3,2.8865,2.6745,99.2,99.2,19.65,19.65
